file_x,file_y,label,distance
Mike_Weir_0001.jpg,Mike_Weir_0002.jpg,Y,0.33206
Mike_Weir_0001.jpg,Mike_Weir_0003.jpg,Y,0.39677
Mike_Weir_0001.jpg,Mike_Weir_0004.jpg,Y,0.41873
Mike_Weir_0001.jpg,Mike_Weir_0006.jpg,Y,0.43966
Mike_Weir_0001.jpg,Mike_Weir_0007.jpg,Y,0.45135
Mike_Weir_0001.jpg,Mike_Weir_0008.jpg,Y,0.54881
Mike_Weir_0001.jpg,Mike_Weir_0009.jpg,Y,0.27614
Mike_Weir_0001.jpg,Mike_Weir_0010.jpg,Y,0.54309
Mike_Weir_0001.jpg,Mike_Weir_0011.jpg,Y,0.72821
Mike_Weir_0002.jpg,Mike_Weir_0003.jpg,Y,0.528
Mike_Weir_0002.jpg,Mike_Weir_0004.jpg,Y,0.28716
Mike_Weir_0002.jpg,Mike_Weir_0006.jpg,Y,0.56874
Mike_Weir_0002.jpg,Mike_Weir_0007.jpg,Y,0.51636
Mike_Weir_0002.jpg,Mike_Weir_0008.jpg,Y,0.48608
Mike_Weir_0002.jpg,Mike_Weir_0009.jpg,Y,0.24347
Mike_Weir_0002.jpg,Mike_Weir_0010.jpg,Y,0.41236
Mike_Weir_0002.jpg,Mike_Weir_0011.jpg,Y,0.78886
Mike_Weir_0003.jpg,Mike_Weir_0004.jpg,Y,0.54003
Mike_Weir_0003.jpg,Mike_Weir_0006.jpg,Y,0.56735
Mike_Weir_0003.jpg,Mike_Weir_0007.jpg,Y,0.55616
Mike_Weir_0003.jpg,Mike_Weir_0008.jpg,Y,0.7045
Mike_Weir_0003.jpg,Mike_Weir_0009.jpg,Y,0.46142
Mike_Weir_0003.jpg,Mike_Weir_0010.jpg,Y,0.60677
Mike_Weir_0003.jpg,Mike_Weir_0011.jpg,Y,0.70565
Mike_Weir_0004.jpg,Mike_Weir_0006.jpg,Y,0.56689
Mike_Weir_0004.jpg,Mike_Weir_0007.jpg,Y,0.45843
Mike_Weir_0004.jpg,Mike_Weir_0008.jpg,Y,0.4317
Mike_Weir_0004.jpg,Mike_Weir_0009.jpg,Y,0.34278
Mike_Weir_0004.jpg,Mike_Weir_0010.jpg,Y,0.40244
Mike_Weir_0004.jpg,Mike_Weir_0011.jpg,Y,0.81316
Mike_Weir_0006.jpg,Mike_Weir_0007.jpg,Y,0.45065
Mike_Weir_0006.jpg,Mike_Weir_0008.jpg,Y,0.4792
Mike_Weir_0006.jpg,Mike_Weir_0009.jpg,Y,0.55095
Mike_Weir_0006.jpg,Mike_Weir_0010.jpg,Y,0.62475
Mike_Weir_0006.jpg,Mike_Weir_0011.jpg,Y,0.69813
Mike_Weir_0007.jpg,Mike_Weir_0008.jpg,Y,0.62029
Mike_Weir_0007.jpg,Mike_Weir_0009.jpg,Y,0.51455
Mike_Weir_0007.jpg,Mike_Weir_0010.jpg,Y,0.62656
Mike_Weir_0007.jpg,Mike_Weir_0011.jpg,Y,0.66484
Mike_Weir_0008.jpg,Mike_Weir_0009.jpg,Y,0.51157
Mike_Weir_0008.jpg,Mike_Weir_0010.jpg,Y,0.5143
Mike_Weir_0008.jpg,Mike_Weir_0011.jpg,Y,0.93282
Mike_Weir_0009.jpg,Mike_Weir_0010.jpg,Y,0.43414
Mike_Weir_0009.jpg,Mike_Weir_0011.jpg,Y,0.77617
Mike_Weir_0010.jpg,Mike_Weir_0011.jpg,Y,0.69589
Paul_Burrell_0001.jpg,Paul_Burrell_0002.jpg,Y,0.26531
Paul_Burrell_0001.jpg,Paul_Burrell_0003.jpg,Y,0.30556
Paul_Burrell_0001.jpg,Paul_Burrell_0004.jpg,Y,0.11947
